,CREB,NFkB,ERK,STAT6,MAPKAPK2,STAT5,p38,STAT1,STAT3,S6,IkB,Frequency
1326,-0.192057434,-0.131714385,-0.05337393400000001,0.1462959709999999,0.156802744,0.319865407,-0.059085501,-0.006700661,0.10843941299999993,0.112672111,0.027761499999999995,0.012609984000000001
1330,-0.22651803199999998,0.09376238800000003,0.12235410600000002,0.213717952,-0.262275289,-0.0024168839999999525,0.019215583,0.0,0.616927433,0.131828761,-0.04868518500000002,0.024680991
1331,0.530405015,0.08375219300000003,-0.315664172,0.07180252999999992,-0.052490201000000014,-0.12431370500000005,0.048362667,0.0,1.7318127060000001,0.826147014,0.35974241799999995,0.002129320999999999
1337,,,,,,,,,,,,-0.003774724
1357,0.35145508200000003,0.33514204400000003,0.202086149,0.253492979,0.22395710299999994,-0.016001578999999988,0.110324599,0.0,0.806677981,0.07862765899999996,0.578936472,0.025421130000000004
1377,0.11819960800000001,0.14623610899999995,-0.16958172300000007,-0.05747871999999998,-0.315945935,-0.19153778700000001,-0.11453550200000001,0.0,0.10604415999999972,0.094266681,0.581898511,0.015567132000000001
1381,-0.07289176200000003,0.07225028300000003,0.18382890600000001,0.06530435599999995,0.07928641000000003,0.5566583049999999,-0.03861983200000001,0.0,0.37217455999999993,0.17360678499999999,-0.11208264000000001,-0.030590875
1400,-0.017283626999999996,-0.08054227599999997,0.04124736299999998,-0.011551115000000056,0.096048874,-0.004420773000000003,0.0,0.0,0.0,0.0037127149999999914,0.10512898499999998,-0.013504208000000018
1414,-0.351235097,-0.30192649000000005,0.21488109999999994,0.20156431500000005,-0.48381755299999996,0.272880181,-0.724136763,0.0,0.765765057,0.05483673,-0.702752101,-0.115431201
1418,0.19085889500000003,0.3021542850000001,0.097476489,-0.002978695000000031,-0.08962134599999999,0.0024494929999999693,0.13357701599999997,0.0,0.257862621,0.12627064200000002,0.03292774800000009,0.017528226000000008
1427,-0.8424458499999999,-0.10154025300000002,-0.08119352499999999,0.13114488800000002,-0.06606926499999999,0.20172040500000002,-0.208731727,0.0,0.606243431,-0.6866750389999999,-0.40076057100000007,-0.008840385
1428,-0.075667437,0.16513608700000004,0.20338498699999996,0.43469972999999995,0.678065148,0.17321172099999999,0.0,0.0,0.39538284200000007,-0.27016591199999995,-0.27399599900000005,-0.0023759390000000005
1431,-0.388365791,0.21762989300000002,0.46109276200000004,0.033809165999999946,0.384864288,-0.213349197,0.011895832000000002,0.0,-0.287310693,-0.233051128,-0.132382769,0.005836456
1464,0.5110004229999999,-0.2151617640000001,0.22782659000000002,-0.09806993100000005,-0.16085000900000002,-0.017278346,0.039060193,0.0,-0.208513319,-0.21203433899999996,0.10003476999999997,-0.005806406
1469,1.0445890869999999,0.116402479,0.987779693,0.16377684800000003,0.7670055339999999,0.19167877499999997,1.293484595,0.0,-0.373892922,0.068735098,-0.116471624,0.012333504999999998
1472,-0.31906152899999995,0.22217730099999988,-0.065120809,0.255080116,-0.15565647900000001,-0.37465196199999995,0.06388079599999999,0.0,-0.07531862300000003,0.11377742099999999,-0.22467430600000005,0.0031904640000000005
1473,-0.29221239700000007,-0.14439527100000005,0.050816307000000005,0.431255813,0.526582688,0.16485998699999999,-0.08834251400000001,0.020748213,-0.13425555899999997,0.44081267599999996,-0.27014603299999995,-0.0014941340000000011
1475,0.29453980999999996,-0.06485261400000009,0.13896010800000003,-0.03979502300000004,-0.09544123099999996,0.07735758000000001,0.122409379,0.025822193,-0.6034182509999999,0.5081765119999999,0.338748446,0.002606236999999999
1480,0.04214573900000007,0.13441758400000015,0.14269149399999997,0.11020343700000002,-0.16292690699999995,0.08082815300000001,0.18474990900000002,0.0,-0.829140363,-0.24031773199999995,-0.09660193699999997,-0.0008093179999999998
1488,-0.164099997,-0.07301248399999993,0.06439720599999998,0.09298984300000002,0.162151306,0.107021847,0.10341179899999998,0.0,0.866922108,0.04675640599999997,0.10150184200000006,0.008557234
