,CREB,NFkB,ERK,STAT6,MAPKAPK2,STAT5,p38,STAT1,STAT3,S6,IkB,Frequency
1326,0.846728694,0.445515829,0.130199006,0.061399326,0.255782628,0.242751647,0.076051645,0.0,0.494242396,0.328780185,0.552933954,1.71644982
1330,0.553172564,0.394331915,0.114302404,0.046821231,0.241277032,0.221011452,0.030171725,0.0,0.394307957,0.284900567,0.447072013,0.950453663
1331,0.676191993,0.428581081,0.133149232,0.040119347,0.242949466,0.180620505,0.017063625,0.0,0.190348041,0.262372986,0.462134933,4.298689593
1337,0.343925175,0.265366819,0.046633669,0.032829385,0.148428509,0.145964115,0.069965549,0.0,0.818874562,0.1284312,0.301379392,0.392571342
1357,0.624108409,0.343229656,0.090454007,0.03944801,0.294979073,0.168242025,0.040467687,0.0,0.195938029,0.244283962,0.422118526,1.304069828
1377,0.749633024,0.736894466,0.186796344,0.044979594,0.349007171,0.220783098,0.041969854,0.0,0.769375018,0.280897157,0.567843655,10.86333698
1381,0.590865628,0.373357412,0.093509272,0.025627567,0.19338791,0.145639443,0.0,0.0,0.340031765,0.190747087,0.324427216,1.996731016
1400,0.647978439,0.335583158,0.058737933,0.030523312,0.267908224,0.202489224,0.005823042,0.0,0.318237849,0.199373061,0.519619762,1.353841663
1414,1.790902341,1.638120519,0.109165499,0.139060868,0.652670277,0.411703183,1.210306142,0.0,1.003864691,1.035140448,2.001694056,0.043934318
1418,0.975735544,0.583505453,0.185716526,0.074596064,0.438544056,0.185906042,0.122756279,0.0,0.130995945,0.387013864,0.719266664,1.422341024
1427,0.541945333,0.267061127,0.050706452,0.042331494,0.171502155,0.124674973,0.062248338,0.0,0.377628817,0.313356092,0.444617033,1.250689313
1428,0.507256973,0.356647686,0.084150812,0.042143827,0.156711255,0.145317273,0.031984326,0.0,0.225288765,0.245613461,0.387656966,1.643380669
1431,0.79885787,0.462332141,0.145629853,0.056013412,0.248920295,0.1802914,0.063986385,0.0,0.581732809,0.403465968,0.445638317,3.705453769
1464,0.577658124,0.332769985,0.07965983,0.030507401,0.209834936,0.126329,0.099059405,0.0,0.183193553,0.268170807,0.321248545,2.028166446
1469,0.526914824,0.397743246,0.07261095,0.062958557,0.14463262,0.148986144,0.033569706,0.0,0.786827906,0.302212716,0.662620995,7.0255379
1472,0.587764406,0.334700275,0.031305513,0.0,0.272287417,0.160705671,0.019660899,0.0,0.233618965,0.410381868,0.316453303,0.80338361
1473,0.491131455,0.218456709,0.023251227,0.018269408,0.126479537,0.13034571,0.0,0.0,0.360721665,0.360262674,0.417535257,1.152779205
1475,0.559072858,0.316103926,0.050281352,0.004019326,0.181784988,0.130582268,0.018704041,0.0,0.469842678,0.572251513,0.427360485,0.677073916
1480,0.509989887,0.366882742,0.065080189,0.037510583,0.18777699,0.160443307,0.0,0.0,0.368758693,0.527113952,0.478301487,1.041789705
1488,0.979556792,0.488731076,0.128700565,0.047083614,0.327692399,0.167706128,0.101936913,0.0,0.280974492,0.701591152,0.395533592,1.261561878
